regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,0.1,6.906430097786393,3.7504787285622815e-07,0.0010010260325777,0.0010014010804505562,999,999,0.8,0.2,200
decoupled,gd,0.10181647371110869,6.906424200045059,3.8186199013924213e-07,0.001001026487275472,0.0010014083492656113,999,999,0.8,0.2,200
decoupled,gd,0.10366594318964886,6.906418195172865,3.887999379427465e-07,0.0010010269502329602,0.001001415750170903,999,999,0.8,0.2,200
decoupled,gd,0.1055490077950617,6.906412081223776,3.9586396769516856e-07,0.0010010274216001578,0.001001423285567853,999,999,0.8,0.2,200
decoupled,gd,0.10746627777399505,6.906405856216486,4.0305637167030103e-07,0.0010010279015298118,0.001001430957901482,999,999,0.8,0.2,200
decoupled,gd,0.10941837445806671,6.9063995181335915,4.103794838752634e-07,0.0010010283901775157,0.001001438769661391,999,999,0.8,0.2,200
decoupled,gd,0.11140593046521999,6.9063930649211525,4.178356807610882e-07,0.0010010288877016324,0.0010014467233823935,999,999,0.8,0.2,200
decoupled,gd,0.11342958990473673,6.906386494487851,4.2542738206579646e-07,0.0010010293942634247,0.0010014548216454905,999,999,0.8,0.2,200
decoupled,gd,0.11549000858597466,6.906379804704427,4.3315705161627374e-07,0.0010010299100269952,0.0010014630670786115,999,999,0.8,0.2,200
decoupled,gd,0.11758785423089606,6.906372993402901,4.4102719797662303e-07,0.0010010304351595525,0.001001471462357529,999,999,0.8,0.2,200
decoupled,gd,0.11972380669045708,6.9063660583759034,4.490403754586411e-07,0.0010010309698312945,0.001001480010206753,999,999,0.8,0.2,200
decoupled,gd,0.12189855816492783,6.906358997376053,4.5719918473070657e-07,0.0010010315142155192,0.00100148871340025,999,999,0.8,0.2,200
decoupled,gd,0.12411281342821427,6.906351808115019,4.6550627400454743e-07,0.0010010320684886499,0.0010014975747626544,999,999,0.8,0.2,200
decoupled,gd,0.12636729005625516,6.906344488263047,4.739643394981955e-07,0.0010010326328303094,0.0010015065971698076,999,999,0.8,0.2,200
decoupled,gd,0.1286627186595675,6.906337035447969,4.825761266114784e-07,0.0010010332074234132,0.0010015157835500247,999,999,0.8,0.2,200
decoupled,gd,0.13099984312001625,6.90632944725449,4.913444307935982e-07,0.0010010337924541732,0.0010015251368849668,999,999,0.8,0.2,200
decoupled,gd,0.133379420831885,6.906321721223593,5.002720981903998e-07,0.0010010343881121963,0.0010015346602103867,999,999,0.8,0.2,200
decoupled,gd,0.13580222294732522,6.906313854851414,5.093620268680019e-07,0.001001034994590606,0.001001544356617474,999,999,0.8,0.2,200
decoupled,gd,0.13826903462626458,6.906305845588738,5.186171677280804e-07,0.001001035612085875,0.001001554229253603,999,999,0.8,0.2,200
decoupled,gd,0.14078065529085446,6.906297690839977,5.280405252685444e-07,0.0010010362407982046,0.0010015642813234731,999,999,0.8,0.2,200
decoupled,gd,0.14333789888453938,6.906289387962467,5.376351587373443e-07,0.0010010368809313152,0.0010015745160900525,999,999,0.8,0.2,200
decoupled,gd,0.14594159413583258,6.906280934265408,5.474041831724386e-07,0.0010010375326927135,0.001001584936875886,999,999,0.8,0.2,200
decoupled,gd,0.14859258482688292,6.906272327009303,5.5735077017895e-07,0.0010010381962935967,0.0010015955470637757,999,999,0.8,0.2,200
decoupled,gd,0.15129173006692012,6.906263563404733,5.674781492818158e-07,0.0010010388719490424,0.0010016063500983242,999,999,0.8,0.2,200
decoupled,gd,0.15403990457066724,6.9062546406116585,5.777896086819109e-07,0.0010010395598780938,0.0010016173494867757,999,999,0.8,0.2,200
decoupled,gd,0.1568379989418103,6.906245555738515,5.882884964905199e-07,0.001001040260303691,0.0010016285488001816,999,999,0.8,0.2,200
decoupled,gd,0.1596869199616172,6.906236305841137,5.989782218829287e-07,0.0010010409734528198,0.0010016399516747027,999,999,0.8,0.2,200
decoupled,gd,0.1625875908827992,6.906226887921936,6.098622559677375e-07,0.0010010416995566726,0.0010016515618126404,999,999,0.8,0.2,200
decoupled,gd,0.1655409517287102,6.906217298928768,6.209441333804213e-07,0.0010010424388505015,0.0010016633829838819,999,999,0.8,0.2,200
