optimizer,regime,eta,steps,loss,delta
gd,decoupled,1.999877270535287e-06,10,5.703782258725013,8.305047036367974e-10
gd,decoupled,1.999877270535287e-06,50,5.703781395000241,4.1525258669995735e-09
gd,decoupled,1.999877270535287e-06,100,5.703780315344288,8.305057523205067e-09
gd,decoupled,1.999877270535287e-06,200,5.703778156032418,1.6610138379308248e-08
gd,decoupled,2.2621169304690264e-06,10,5.703782230410402,9.394070486778983e-10
gd,decoupled,2.2621169304690264e-06,50,5.703781253427246,4.697038212802401e-09
gd,decoupled,2.2621169304690264e-06,100,5.703780032198307,9.394083843716067e-09
gd,decoupled,2.2621169304690264e-06,200,5.703777589740459,1.8788197460924833e-08
gd,decoupled,2.5587435201685893e-06,10,5.703782198382983,1.0625894617324882e-09
gd,decoupled,2.5587435201685893e-06,50,5.703781093290091,5.312951387864695e-09
gd,decoupled,2.5587435201685893e-06,100,5.703779711923992,1.0625912284616124e-08
gd,decoupled,2.5587435201685893e-06,200,5.703776949191845,2.125186273922025e-08
gd,decoupled,2.894266124716752e-06,10,5.703782162155859,1.2019246188599286e-09
gd,decoupled,2.894266124716752e-06,50,5.703780912154491,6.0096280920379774e-09
gd,decoupled,2.894266124716752e-06,100,5.703779349652792,1.2019268442933079e-08
gd,decoupled,2.894266124716752e-06,200,5.703776224649454,2.4038585666290302e-08
gd,decoupled,3.273785095948577e-06,10,5.703782121178347,1.359530518111468e-09
gd,decoupled,3.273785095948577e-06,50,5.703780707266954,6.797658800867384e-09
gd,decoupled,3.273785095948577e-06,100,5.703778939877736,1.3595333203837712e-08
gd,decoupled,3.273785095948577e-06,200,5.703775405099364,2.71907288182556e-08
gd,decoupled,3.703069584005141e-06,10,5.703782074827552,1.5378029093182644e-09
gd,decoupled,3.703069584005141e-06,50,5.703780475512958,7.689022538028695e-09
gd,decoupled,3.703069584005141e-06,100,5.703778476369745,1.5378065011499575e-08
gd,decoupled,3.703069584005141e-06,200,5.703774478083417,3.075620991568884e-08
gd,decoupled,4.188645235435271e-06,10,5.703782022398868,1.739451775759765e-09
gd,decoupled,4.188645235435271e-06,50,5.703780213369552,8.697269211245529e-09
gd,decoupled,4.188645235435271e-06,100,5.703777952082942,1.7394563922058792e-08
gd,decoupled,4.188645235435271e-06,200,5.703773429509847,3.4789230087418216e-08
gd,decoupled,4.737893390963144e-06,10,5.7037819630953255,1.9675424679267695e-09
gd,decoupled,4.737893390963144e-06,50,5.703779916851837,9.837725568635075e-09
gd,decoupled,4.737893390963144e-06,100,5.7037773590475265,1.967548373098954e-08
gd,decoupled,4.737893390963144e-06,200,5.703772243439062,3.935109824928715e-08
gd,decoupled,5.359163290848514e-06,10,5.703781896015428,2.2255422674026526e-09
gd,decoupled,5.359163290848514e-06,50,5.703779581452389,1.11277279842871e-08
gd,decoupled,5.359163290848514e-06,100,5.703776688248635,2.225549787992706e-08
gd,decoupled,5.359163290848514e-06,200,5.703770901841347,4.4511162991100334e-08
gd,decoupled,6.061898993497572e-06,10,5.703781820139492,2.517373006230561e-09
gd,decoupled,6.061898993497572e-06,50,5.703779202072723,1.2586886449349882e-08
gd,decoupled,6.061898993497572e-06,100,5.703775929489321,2.517382645048083e-08
gd,decoupled,6.061898993497572e-06,200,5.7037693843227855,5.034786691249585e-08
gd,decoupled,6.856782936641738e-06,10,5.703781734314107,2.8474709690834432e-09
