kind,protocol,eta,step,loss,delta,correct_min,correct_max
identity_decoupled,one_step,0.001,1,5.701789147971709,8.673617379884035e-19,0.0033399843822693813,0.003339984382269382
identity_decoupled,one_step,0.0010750942544107047,1,5.701639461127714,0.0,0.003340484371410526,0.003340484371410526
identity_decoupled,one_step,0.0011558276558669076,1,5.7014785337455365,0.0,0.003341021990073233,0.003341021990073233
identity_decoupled,one_step,0.0012426236719115056,1,5.701305521738411,4.336808689942018e-19,0.0033416000770001304,0.003341600077000131
identity_decoupled,one_step,0.0013359375700667908,1,5.701119517635561,0.0,0.003342221686133683,0.003342221686133683
identity_decoupled,one_step,0.0014362588058302048,1,5.700919545822713,0.0,0.0033428901030932534,0.0033428901030932534
identity_decoupled,one_step,0.0015441135899948314,1,5.700704557425286,4.336808689942018e-19,0.00334360886293903,0.0033436088629390306
identity_decoupled,one_step,0.0016600676487609296,1,5.70047342480741,8.673617379884035e-19,0.0033443817693271736,0.0033443817693271745
identity_decoupled,one_step,0.0017847291911159613,1,5.700224935657887,4.336808689942018e-19,0.003345212915169806,0.0033452129151698064
identity_decoupled,one_step,0.0019187520990478343,1,5.699957786632126,0.0,0.003346106704923277,0.003346106704923277
identity_decoupled,one_step,0.0020628393573248038,1,5.699670576516746,0.0,0.0033470678786388635,0.0033470678786388635
identity_decoupled,one_step,0.002217746740832167,1,5.699361798880897,0.0,0.0033481015379226717,0.0033481015379226717
identity_decoupled,one_step,0.0023842867788067264,1,5.699029834175978,0.0,0.0033492131739635044,0.0033492131739635044
identity_decoupled,one_step,0.002563333016762518,1,5.69867294124215,8.673617379884035e-19,0.0033504086978034856,0.0033504086978034865
identity_decoupled,one_step,0.0027558245984626384,1,5.698289248177169,0.0,0.0033516944730414364,0.0033516944730414364
identity_decoupled,one_step,0.00296277119197087,1,5.697876742519819,0.0,0.003353077351176192,0.003353077351176192
identity_decoupled,one_step,0.0031852582856214335,1,5.697433260696287,8.673617379884035e-19,0.0033545647098182263,0.003354564709818227
identity_decoupled,one_step,0.003424452881685694,1,5.696956476674285,0.0,0.0033561644940181008,0.0033561644940181008
identity_decoupled,one_step,0.0036816096176004666,1,5.696443889765543,4.336808689942018e-19,0.0033578852609849447,0.003357885260984945
identity_decoupled,one_step,0.003958077346865453,1,5.695892811512538,0.0,0.003359736228495511,0.003359736228495511
identity_decoupled,one_step,0.0042553062141282095,1,5.695300351590941,4.336808689942018e-19,0.003361727327322906,0.0033617273273229063
